Drug,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho
FUB-AMB ,0,0,1,0,30,0,1,0,0,4,0,0,27
JWH-018,0,0,0,0,0,0,0,0,0,1,0,0,0
JWH-081,0,0,0,0,0,0,0,0,0,0,0,0,0
JWH-122,0,0,0,0,0,0,0,0,0,1,0,0,0
JWH-210,0,0,0,0,0,0,0,0,0,0,0,0,0
JWH-250,0,0,0,0,0,0,0,0,0,0,0,0,0
MAB-CHMINACA,0,0,1,0,0,0,0,0,0,2,0,0,0
MDMB-4en-PICA,0,0,0,0,17,0,0,0,0,0,0,0,0
MDMB-bromo-INACA,0,0,0,0,0,0,0,0,0,2,0,0,3
MDMB-5Br-INACA,0,0,0,0,0,0,0,0,0,2,0,0,3
MDMB-bromo-INACA (unspecified isomer),0,0,0,0,0,0,0,0,0,0,0,0,0
MDMB-BUTINACA,0,0,0,0,0,0,0,0,0,0,0,0,8
MDMB-CHMICA ,0,0,0,0,0,0,0,0,0,0,0,0,0
MDMB-en-PINACA,0,6,7,4,164,0,36,7,0,155,1,0,246
MDMB-4en-PINACA,0,6,7,4,164,0,36,7,0,155,1,0,246
MDMB-en-PINACA (unspecified isomer),0,0,0,0,0,0,0,0,0,0,0,0,0
MDMB-INACA,0,0,0,0,0,0,9,0,0,0,0,0,3
MMB-4en-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
MMB-FUBICA,0,0,0,0,0,0,0,0,0,0,0,0,0
NM-2201,0,0,0,0,0,0,0,0,0,0,0,0,1
RCS-4,0,0,0,0,0,0,0,0,0,0,0,0,0
Synthetic cannabinoids1,2,0,0,0,0,0,50,1,0,0,0,0,0
Synthetic cannabinoids (butaldehydeamidoindoles)1,0,0,0,0,0,0,0,0,0,0,0,0,0
THJ-018,0,0,0,0,1,0,0,0,0,0,0,0,0
THJ-2201,0,0,0,0,0,0,0,0,0,1,0,0,0
UR-144,0,0,0,0,0,0,0,0,0,0,0,0,0
XLR11,0,0,0,0,0,0,0,0,0,9,0,0,0
Drug,Rhode Island,"South
Carolina",South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West
Virginia",Wisconsin,Wyoming,
5F-AB-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,
5F-ADB-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,
5F-AEB,0,0,0,0,2,0,0,0,0,0,0,0,
5F-AKB48 ,0,0,0,0,1,0,0,0,0,0,0,0,
5F-EDMB-PICA,0,0,0,0,0,0,0,0,0,0,0,0,
AB-CHMINACA,0,0,0,0,0,0,0,1,0,0,0,0,
AB-FUBINACA,0,0,0,1,3,2,0,0,0,0,1,0,
AB-PINACA,0,0,0,0,1,0,0,0,0,0,0,0,
adamantyl-CHMINACA,0,0,0,0,0,0,0,0,0,0,0,0,
ADB-4en-PFUPPYCA,0,0,0,0,0,0,0,0,0,0,0,0,
ADB-4en-PINACA,0,0,0,1,0,0,0,1,0,0,0,0,
ADB-5'Br-4en-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,
ADB-5Br-INACA,0,0,0,0,2,0,0,1,0,0,0,0,
ADB-BINACA,0,0,0,0,0,0,0,0,0,0,0,0,
ADB-Br-BUTINACA,0,0,0,0,5,0,0,1,0,0,0,0,
ADB-5Br-BUTINACA,0,0,0,0,5,0,0,1,0,0,0,0,
ADB-Br-BUTINACA (unspecified isomer),0,0,0,0,0,0,0,0,0,0,0,0,
ADB-BUTINACA,1,1,0,8,59,22,0,32,1,1,1,0,
ADB-FUBIATA,0,0,0,0,43,0,0,1,0,0,0,0,
ADB-FUBINACA,0,0,0,0,0,0,0,0,0,0,0,0,
ADB-HEXINACA,0,0,0,0,29,0,0,0,0,0,0,0,
ADB-PHETINACA,0,0,0,0,0,0,0,0,0,0,0,0,
ADB-PINACA,0,0,0,0,0,0,0,0,0,2,0,0,
AFUBIATA,0,0,0,0,0,0,0,0,0,0,0,0,
AKB48,0,0,0,0,1,0,0,0,0,0,0,0,
AM2201,0,0,0,0,1,0,0,0,0,4,0,0,
BZO-4en-POXIZID,0,0,0,0,6,0,0,0,0,0,0,0,
BZO-CHMOXIZID,0,0,0,0,1,0,0,0,0,0,0,0,
BZO-HEXOXIZID,0,0,0,1,10,0,0,1,0,0,0,0,
BZO-POXIZID,0,0,0,0,17,0,0,0,0,0,1,0,
CH-PIATA,0,0,0,2,4,0,0,1,0,0,0,0,
Cyano-CUMYL-BUTINACA,0,0,0,1,10,0,0,2,0,0,0,0,
4CN-CUMYL-BUTINACA,0,0,0,1,10,0,0,2,0,0,0,0,
Cyano-CUMYL-BUTINACA (unspecified isomer),0,0,0,0,0,0,0,0,0,0,0,0,
EDMB-4en-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,
EDMB-PINACA  ,0,0,0,0,0,0,0,1,0,0,0,0,
EMB-FUBINACA,0,0,0,0,2,0,0,0,0,0,0,0,
FDU-PB-22,0,0,0,0,0,0,0,0,0,0,0,0,
"Fluoro-3,5-AB-PFUPPYCA",0,0,0,0,0,0,0,0,0,0,0,0,
"5F-3,5-AB-PFUPPYCA",0,0,0,0,0,0,0,0,0,0,0,0,
"Fluoro-3,5-AB-PFUPPYCA (unspecified isomer)",0,0,0,0,0,0,0,0,0,0,0,0,
Fluoro-ABUTINACA,0,0,0,0,0,0,0,0,0,0,0,0,
4F-ABUTINACA  ,0,0,0,0,0,0,0,0,0,0,0,0,
Fluoro-ABUTINACA (unspecified isomer),0,0,0,0,0,0,0,0,0,0,0,0,
Fluoro-ADB,0,0,0,0,4,0,0,4,0,0,0,0,
5F-ADB ,0,0,0,0,4,0,0,4,0,0,0,0,
Fluoro-BZO-POXIZID,0,0,0,0,0,0,0,0,0,0,0,0,
5F-BZO-POXIZID,0,0,0,0,0,0,0,0,0,0,0,0,
Fluoro-BZO-POXIZID (unspecified isomer),0,0,0,0,0,0,0,0,0,0,0,0,
Fluoro-CUMYL-PINACA,0,0,0,1,0,0,0,0,0,0,0,0,
5F-CUMYL-PINACA,0,0,0,1,0,0,0,0,0,0,0,0,
Fluoro-CUMYL-PINACA (unspecified isomer),0,0,0,0,0,0,0,0,0,0,0,0,
Fluoro-EDMB-PICA,0,0,0,0,1,0,0,0,0,0,0,0,
Fluoro-EMB-PICA,0,0,0,1,1,0,0,1,0,0,0,0,
5F-EMB-PICA,0,0,0,1,1,0,0,1,0,0,0,0,
Fluoro-EMB-PICA (unspecified isomer),0,0,0,0,0,0,0,0,0,0,0,0,
Fluoro-EMDB-PINACA,0,0,0,0,2,0,0,0,0,0,0,0,
5F-EDMB-PINACA,0,0,0,0,2,0,0,0,0,0,0,0,
Fluoro-MDMB-BUTICA,0,0,0,3,12,0,0,3,0,0,0,0,
4F-MDMB-BUTICA,0,0,0,3,6,0,0,3,0,0,0,0,
Fluoro-MDMB-BUTICA (unspecified isomer),0,0,0,0,6,0,0,0,0,0,0,0,
Fluoro-MDMB-BUTINACA,0,1,0,1,1,0,0,6,1,0,0,0,
4F-MDMB-BUTINACA,0,1,0,1,1,0,0,6,1,0,0,0,
Fluoro-MDMB-BUTINACA (unspecified isomer),0,0,0,0,0,0,0,0,0,0,0,0,
Fluoro-MDMB-PICA,0,2,0,0,8,12,0,1,0,0,0,0,
5F-MDMB-PICA,0,0,0,0,2,12,0,1,0,0,0,0,
Fluoro-MDMB-PICA (unspecified isomer),0,2,0,0,6,0,0,0,0,0,0,0,
Drug,Rhode Island,"South
Carolina",South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West
Virginia",Wisconsin,Wyoming,
FUB-144,0,0,0,0,3,0,0,0,0,2,0,0,
FUB-AKB48,0,0,0,0,0,0,0,0,0,0,0,0,
FUB-AMB ,0,0,0,0,1,0,0,1,0,0,0,0,
JWH-018,0,0,0,0,0,0,0,0,0,0,0,0,
JWH-081,0,0,0,0,0,0,0,0,0,2,0,0,
JWH-122,0,0,0,0,0,0,0,0,0,5,0,0,
JWH-210,0,0,0,0,0,0,0,0,0,2,0,0,
JWH-250,0,0,0,0,0,0,0,0,0,0,0,0,
MAB-CHMINACA,0,0,0,0,0,0,0,0,0,0,0,0,
MDMB-4en-PICA,0,0,0,0,1,0,0,0,0,0,0,0,
MDMB-bromo-INACA,0,0,0,0,7,0,0,0,0,0,0,0,
MDMB-5Br-INACA,0,0,0,0,7,0,0,0,0,0,0,0,
MDMB-bromo-INACA (unspecified isomer),0,0,0,0,0,0,0,0,0,0,0,0,
MDMB-BUTINACA,0,0,0,0,3,0,0,0,1,0,0,0,
MDMB-CHMICA ,0,0,0,0,1,0,0,0,0,0,0,0,
MDMB-en-PINACA,1,2,0,18,217,0,0,124,11,5,0,1,
MDMB-4en-PINACA,1,2,0,18,217,0,0,124,11,5,0,1,
MDMB-en-PINACA (unspecified isomer),0,0,0,0,0,0,0,0,0,0,0,0,
MDMB-INACA,0,0,0,0,2,0,0,0,0,0,0,0,
MMB-4en-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,
MMB-FUBICA,0,0,0,0,10,0,0,0,0,0,0,0,
NM-2201,0,0,0,0,0,0,0,0,0,0,0,0,
RCS-4,0,0,0,0,0,0,0,0,0,1,0,0,
Synthetic cannabinoids1,0,0,0,0,0,0,0,0,0,0,0,0,
Synthetic cannabinoids (butaldehydeamidoindoles)1,0,0,0,0,0,0,0,0,0,0,0,0,
THJ-018,0,0,0,0,0,0,0,0,0,0,0,0,
THJ-2201,0,0,0,0,0,0,0,0,0,0,0,0,
UR-144,0,0,0,0,3,0,0,0,0,0,0,0,
XLR11,0,0,0,0,7,0,0,1,0,0,0,0,
,,,,,,,,,,,,,
4CN-CUMYL-BUTINACA=1-(4-cyanobutyl)-N-(2-phenylpropan-2-yl)-1H-indazole-3-carboxamide,,,,,,,,,,,,,
4F-ABUTINACA=N-(1-adamantyl)-1-(4-fluorobutyl)indazole-3-carboxamide,,,,,,,,,,,,,
"4F-MDMB-BUTICA=methyl 2-(1-(4-fluorobutyl)-1H-indole-3-carboxamido)-3,3-dimethylbutanoate",,,,,,,,,,,,,
"4F-MDMB-BUTINACA=methyl 2-(1-(4-fluorobutyl)-1H-indazole-3-carboxamido)-3,3-dimethylbutanoate",,,,,,,,,,,,,
"5F-3,5-AB-PFUPPYCA=N-(1-amino-3-methyl-1-oxobutan-2-yl)-1-(5-fluoropentyl)-3-(4-fluorophenyl)-1H-pyrazole-5-carboxamide",,,,,,,,,,,,,
5F-AB-PINACA=N-(1-amino-3-methyl-1-oxobutan-2-yl)-1-(5-fluoropentyl)-1H-indazole-3-carboxamide,,,,,,,,,,,,,
"5F-ADB=methyl 2-(1-(5-fluoropentyl)-1H-indazole-3-carboxamido)-3,3-dimethylbutanoate",,,,,,,,,,,,,
"5F-ADB-PINACA=N-(1-amino-3,3-dimethyl-1-oxobutan-2-yl)-1-(5-fluoropentyl-1H-indazole-3-carboxamide",,,,,,,,,,,,,
5F-AEB=ethyl 2-(1-(5-fluoropentyl)-1H-indazole-3-carboxamido)-3-methylbutanoate,,,,,,,,,,,,,
5F-AKB48=N-(adamantan-1-yl)-1-(5-fluoropentyl)-1H-indazole-3-carboxamide,,,,,,,,,,,,,
"5F-BZO-POXIZID=N'-[(3Z)-1-(5-fluoropentyl)-2-oxo-1,2-dihydro-3H-indol-3-ylidene]benzohydrazide",,,,,,,,,,,,,
5F-CUMYL-PINACA=1-(5-fluoropentyl)-N-(2-phenylpropan-2-yl)-1H-indazole-3-carboxamide,,,,,,,,,,,,,
"5F-EDMB-PICA=ethyl 2-(1-(5-fluoropentyl)-1H-indole-3-carboxamido)-3,3-dimethylbutanoate",,,,,,,,,,,,,
"5F-EDMB-PINACA=ethyl 2-(1-(5-fluoropentyl)-1H-indazole-3-carboxamido)-3,3-dimethylbutanoate",,,,,,,,,,,,,
5F-EMB-PICA=ethyl 2-(1-(5-fluoropentyl)-1H-indole-3-carboxamido)-3-methylbutanoate,,,,,,,,,,,,,
"5F-MDMB-PICA=methyl 2-(1-(5-fluoropentyl)-1H-indole-3-carboxamido)-3,3-dimethylbutanoate",,,,,,,,,,,,,
AB-CHMINACA=N-(1-amino-3-methyl-1-oxobutan-2-yl)-1-(cyclohexylmethyl)-1H-indazole-3-carboxamide,,,,,,,,,,,,,
AB-FUBINACA=N-(1-amino-3-methyl-1-oxobutan-2-yl)-1-(4-fluorobenzyl)-1H-indazole-3-carboxamide,,,,,,,,,,,,,
AB-PINACA=N-(1-amino-3-methyl-1-oxobutan-2-yl)-1-pentyl-1H-indazole-3-carboxamide,,,,,,,,,,,,,
adamantyl-CHMINACA=N-(1-adamantyl)-1-(cyclohexylmethyl)indazole-3-carboxamide,,,,,,,,,,,,,
"ADB-4en-PINACA=N-(1-amino-3,3-dimethyl-1-oxobutan-2-yl)-1-(pent-4-en-1-yl)-1H-indazole-3-carboxamide",,,,,,,,,,,,,
"ADB-5'Br-4en-PINACA=N-(1-amino-3,3-dimethyl-1-oxobutan-2-yl)-5-bromo-1-(pent-4-en-1-yl)-1H-indazole-3-carboxamide",,,,,,,,,,,,,
"ADB-5Br-BUTINACA=N-(1-carbamoyl-2,2-dimethylpropyl)-5-bromo-1-butyl-1H-indazole-3-carboxamide",,,,,,,,,,,,,
"ADB-5Br-INACA=N-(1-amino-3,3-dimethyl-1-oxobutan-2-yl)-5-bromo-1H-indazole-3-carboxamide",,,,,,,,,,,,,
"ADB-BINACA=N-(1-amino-3,3-dimethyl-1-oxobutan-2-yl)-1-benzyl-1H-indazole-3-carboxamide",,,,,,,,,,,,,
"ADB-BUTINACA=N-(1-amino-3,3-dimethyl-1-oxobutan-2-yl)-1-butyl-1H-indazole-3-carboxamide",,,,,,,,,,,,,
"ADB-FUBIATA=N-(1-amino-3,3-dimethyl-1-oxobutan-2-yl)-1-(4-fluorobenzyl)-1H-indole-3-acetamide",,,,,,,,,,,,,
"ADB-FUBINACA=N-(1-amino-3,3-dimethyl-1-oxobutan-2-yl)-1-(4-fluorobenzyl)-1H-indazole-3-carboxamide",,,,,,,,,,,,,
"ADB-HEXINACA=N-(1-amino-3,3-dimethyl-1-oxobutan-2-yl)-1-hexyl-1H-indazole-3-carboxamide",,,,,,,,,,,,,
"ADB-PHETINACA=N-(1-amino-3,3-dimethyl-1-oxobutan-2-yl)-1-phenethyl-1H-indazole-3-carboxamide",,,,,,,,,,,,,
"ADB-PINACA=N-(1-amino-3,3-dimethyl-1-oxobutan-2-yl)-1-pentyl-1H-indazole-3-carboxamide",,,,,,,,,,,,,
AFUBIATA=N-adamant-1-yl-1-(4-fluorobenzyl)-1H-indole-3-acetamide,,,,,,,,,,,,,
AKB48=N-(1-adamantyl)-1-pentyl-1H-indazole-3-carboxamide,,,,,,,,,,,,,
AM2201=1-(5-fluoropentyl)-3-(1-naphthoyl)indole,,,,,,,,,,,,,
BZO-4en-POXIZID=(Z)-N'-(2-oxo-1-(pent-4-en-1-yl)indolin-3-ylidene)benzohydrazide,,,,,,,,,,,,,
BZO-CHMOXIZID=3-(2-benzoylhydrazono)-1-(cyclohexylmethyl)-2-indolinone,,,,,,,,,,,,,
"BZO-HEXOXIZID=N'-[(3Z)-1-hexyl-2-oxo-1,2-dihydro-3H-indol-3-ylidene]benzohydrazide",,,,,,,,,,,,,
"BZO-POXIZID=N'-[(3Z)-1-pentyl-2-oxo-1,2-dihydro-3H-indol-3-ylidene]benzohydrazide",,,,,,,,,,,,,
CH-PIATA=N-cyclohexyl-2-(1-pentylindol-3-yl)acetamide,,,,,,,,,,,,,
"EDMB-4en-PINACA=ethyl 3,3-dimethyl-2-(1-(pent-4-en-1-yl)-1H-indazole-3-carboxamido)butanoate",,,,,,,,,,,,,
"EDMB-PINACA=ethyl 3,3-dimethyl-2-(1-pentyl-1H-indazole-3-carboxamido)butanoate",,,,,,,,,,,,,
EMB-FUBINACA=ethyl 2-(1-(4-fluorobenzyl)-1H-indazole-3-carboxamido)-3-methylbutanoate,,,,,,,,,,,,,
FDU-PB-22=naphthalen-1-yl 1-(4-fluorobenzyl)-1H-indole-3-carboxylate,,,,,,,,,,,,,
"FUB-144=(1-(4-fluorobenzyl)-1H-indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone",,,,,,,,,,,,,
FUB-AKB48=N-(1-adaman-1-yl)-1-(4-fluorobenzyl)-1H-indazole-3-carboxamide ,,,,,,,,,,,,,
FUB-AMB=methyl 2-(1-(4-fluorobenzyl)-1H-indazole-3-carboxamido)-3-methylbutanoate,,,,,,,,,,,,,
JWH-018=1-pentyl-3-(1-naphthoyl)indole,,,,,,,,,,,,,
JWH-081=1-pentyl-3-(1-(4-methoxy)naphthoyl)indole,,,,,,,,,,,,,
JWH-122=1-pentyl-3-(4-methyl-1-naphthoyl)indole,,,,,,,,,,,,,
JWH-210=1-pentyl-3-(4-ethyl-1-naphthoyl)indole,,,,,,,,,,,,,
JWH-250=1-pentyl-3-(2-methoxyphenylacetyl)indole,,,,,,,,,,,,,
"MAB-CHMINACA=N-(1-amino-3,3-dimethyl-1-oxobutan-2-yl)-1-(cyclohexylmethyl)-1H-indazole-3-carboxamide",,,,,,,,,,,,,
"MDMB-4en-PICA=methyl 3,3-dimethyl-2-(1-(pent-4-en-1-yl)-1H-indole-3-carboxamido)butanoate",,,,,,,,,,,,,
"MDMB-4en-PINACA=methyl 3,3-dimethyl-2-(1-(pent-4-en-1-yl)-1H-indazole-3-carboxamido)butanoate",,,,,,,,,,,,,
"MDMB-5Br-INACA=N-(1-methoxy-3,3-dimethyl-1-oxobutan-2-yl)-5-bromoindazole-3-carboxamide",,,,,,,,,,,,,
"MDMB-BUTINACA=methyl 2-(1-(butyl)-1H-indazole-3-carboxamido)-3,3-dimethylbutanoate  ",,,,,,,,,,,,,
"MDMB-CHMICA=methyl 2-(1-(cyclohexylmethyl)-1H-indole-3-carboxamido)-3,3-dimethylbutanoate",,,,,,,,,,,,,
"MDMB-INACA=N-(1-methoxycarbonyl-2,2-dimethylpropyl)-1H-indazole-3-carboxamide",,,,,,,,,,,,,
MMB-4en-PINACA=methyl 3-methyl-2-(1-(pent-4-en-1-yl)-1H-indazole-3-carboxamido)butanoate,,,,,,,,,,,,,
MMB-FUBICA=methyl 2-(1-(4-fluorobenzyl)-1H-indole-3-carboxamido)-3-methylbutanoate,,,,,,,,,,,,,
NM-2201=naphthalen-1-yl 1-(5-fluoropentyl)-1H-indole-3-carboxylate,,,,,,,,,,,,,
RCS-4=1-pentyl-3-(4-methoxybenzoyl)indole,,,,,,,,,,,,,
THJ-018=1-pentyl-1H-indazol-3-yl(naphthalen-1-yl)methanone,,,,,,,,,,,,,
THJ-2201=(1-(5-fluoropentyl)-1H-indazol-3-yl)(naphthalen-1-yl)methanone,,,,,,,,,,,,,
"UR-144=(1-pentyl-1H-indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone",,,,,,,,,,,,,
"XLR11=[1-(5-fluoropentyl)-1H-indol-3-yl](2,2,3,3-tetramethylcyclopropyl)methanone",,,,,,,,,,,,,
"1 As reported by NFLIS-Drug laboratories, with no specific drug name provided.",,,,,,,,,,,,,
"Source: U.S. Drug Enforcement Administration, Diversion Control Division, National Forensic Laboratory Information System, 2022. Data generated: August 18, 2023.",,,,,,,,,,,,,
"Suggested Citation: U.S. Drug Enforcement Administration, Diversion Control Division. (2023). Table 4. State counts for synthetic cannabinoids: 2022. https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml",,,,,,,,,,,,,
